Quantity 1,Description,Customer Part No.,Mouser Part Number
22,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
8,CAPACITOR 1nF 2kV,CBPN-B5DZY-1nF,80-C1210C102KGRAC
28,UVY1E102MPD1TD,UVY1E102MPD1TD,UVY1E102MPD1TD
16,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
2,1987724,1987724,1987724
29,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
8,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
6,5-106505-2,5-106505-2,5-106505-2
2,1548129,1548129,1548129
1,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
1,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
5,5442251,5442251,5442251
8,4 Pin Keyed Fan Conn,CBPN-DLNHZ-4PinFanHeaderMaleKeyed,538-47053-3000
1,2.54mm 2pin 1row male,CBPN-LNT3S-conn01x02pin,538-22-28-4022
3,220 1210,CBPN-SZ7LV-220,603-RC1210FR-07220RL
5,TXB0104DR,TXB0104DR,TXB0104DR
1,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
5,22pF 50V,CBPN-XGV7B-22pF,80-C1210C220J5G
3,LTST-C230GKT,LTST-C230GKT,LTST-C230GKT
5,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
1,ISO1042BDWVR,ISO1042BDWVR,ISO1042BDWVR
1,RFMM-0505S,RFMM-0505S,RFMM-0505S
1,R-78K3.3-1.0,R-78K3.3-1.0,R-78K3.3-1.0
1,L717SDB25PA4CH3R,L717SDB25PA4CH3R,L717SDB25PA4CH3R
1,2.54mm jumper,CBPN-CSKX4-254mmJumper,5-146277-2
1,ADS8688AIDBT,ADS8688AIDBT,ADS8688AIDBT
1,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,710-830003156B
1,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
1,120 1210,CBPN-K6UIE-120,603-AC1210FR-07120RL
1,MCP2515-e_ST,MCP2515-e_ST,MCP2515-e_ST
