Quantity 1,Description,Customer Part No.,Mouser Part Number
6,10pF 1210,CBPN-ULXI9-10pf,581-12101U100JAT2A
11,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
7,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
2,1548129,1548129,1548129
3,1987724,1987724,1987724
8,100 1210,CBPN-KHUMA-100,603-RC1210FR-07100RL
14,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
2,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
1,MBRA340T3G,MBRA340T3G,MBRA340T3G
1,2.2nF 1210,CBPN-BDEDI-22nf,80-C1210C222K1HAUTO
2,S3N,S3N,S3N
2,1.5 1210,CBPN-8QJGQ-15,603-AC1210FR-7W1R5L
8,100pF 1210,CBPN-UPTUR-100pf,80-C1210C101K3HACTU
5,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
1,UCC5870QDWJRQ1,UCC5870QDWJRQ1,UCC5870QDWJRQ1
1,BAT54WS-7-F,BAT54WS-7-F,BAT54WS-7-F
3,0 1210,CBPN-VZZ88-0,603-AC1210JR-070RL
12,UVY1E102MPD1TD,UVY1E102MPD1TD,UVY1E102MPD1TD
1,RFMM-0505S,RFMM-0505S,RFMM-0505S
1,5-106505-2,5-106505-2,5-106505-2
4,10k 1210,CBPN-B3D5Z-10k,603-AC1210JR-0710KL
1,REC10K-2415SAW_H2,REC10K-2415SAW_H2,REC10K-2415SAW_H2
2,4.7uF 1210,CBPN-66ZXX-47uf,187-CL32B475KBUYNNE
1,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
2,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
1,REC10K-2409SAW_H2,REC10K-2409SAW_H2,REC10K-2409SAW_H2
