Quantity 1,Description,Customer Part No.,Mouser Part Number
1,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,710-830003156B
39,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
56,5442251,5442251,5442251
24,"SSM3K361R,LF","SSM3K361R,LF","SSM3K361R,LF"
19,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
5,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
1,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
1,120 1210,CBPN-K6UIE-120,603-AC1210FR-07120RL
2,1987724,1987724,1987724
5,22pF 50V,CBPN-XGV7B-22pF,80-C1210C220J5G
1,RFMM-0505S,RFMM-0505S,RFMM-0505S
1,2.54mm jumper,CBPN-CSKX4-254mmJumper,5-146277-2
1,MCP2515-e_ST,MCP2515-e_ST,MCP2515-e_ST
1,ISO1042BDWVR,ISO1042BDWVR,ISO1042BDWVR
