Quantity 1,Description,Customer Part No.,Mouser Part Number
8,0 1210,CBPN-VZZ88-0,603-AC1210JR-070RL
20,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
1,R-78K3.3-1.0,R-78K3.3-1.0,R-78K3.3-1.0
8,10k 1210,CBPN-B3D5Z-10k,603-AC1210JR-0710KL
4,SZMMSZ4678T1G,SZMMSZ4678T1G,SZMMSZ4678T1G
12,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
4,TLV6001QDCKRQ1,TLV6001QDCKRQ1,TLV6001QDCKRQ1
4,FBMJ1608HS220NTR,FBMJ1608HS220NTR,FBMJ1608HS220NTR
24,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
8,16.5k 1210,CBPN-HFQ0L-165k,603-RC1210FR-0716K5L
16,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
2,UVY1E102MPD1TD,UVY1E102MPD1TD,UVY1E102MPD1TD
4,AMC3330QDWERQ1,AMC3330QDWERQ1,AMC3330QDWERQ1
2,2.54mm 10pin 1row male,CBPN-0H6BJ-conn01x10pin,538-22-28-4102
