Quantity 1,Description,Customer Part No.,Mouser Part Number
16,1M 1210,CBPN-3OLMP-1m,603-RC1210FR-071ML
24,ALH82A750CB600,ALH82A750CB600,ALH82A750CB600
12,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
8,0 1210,CBPN-VZZ88-0,603-AC1210JR-070RL
6,B32774X0205K000,B32774X0205K000,B32774X0205K000
8,ACS772ECB-400B-PFF-T,ACS772ECB-400B-PFF-T,ACS772ECB-400B-PFF-T
6,C4AQNBW5200M3LJ,C4AQNBW5200M3LJ,C4AQNBW5200M3LJ
12,B32652A0104K000,B32652A0104K000,B32652A0104K000
3,220 1210,CBPN-SZ7LV-220,603-RC1210FR-07220RL
1,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
2,1x10 2.54mm socket,CBPN-C668G-conn01x10socket,538-90147-1110
3,LTST-C230GKT,LTST-C230GKT,LTST-C230GKT
1,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
1,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
12,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
24,1SMB5956BT3G,1SMB5956BT3G,1SMB5956BT3G
20,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
8,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
12,CAPACITOR 1nF 2kV,CBPN-B5DZY-1nF,80-C1210C102KGRAC
1,L717SDB25PA4CH3R,L717SDB25PA4CH3R,L717SDB25PA4CH3R
