"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J18,J13,J22,J20,J21,J19";"389690002";6;"38969-0002";;;
2;"C79,C65,C34,C32,C89,C77,C82,C84,C69,C74,C85,C70,C64,C81,C61,C83,C37,C92,C72,C80,C39,C60";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";22;"100nF";;;
3;"R68,R67,R65,R69,R66,R70";"RESC6431X65N";6;"RC2512JK-071ML";;;
4;"C26,C59,C62,C63,C36,C28,C75,C73,C71,C29,C90,C66,C27,C78,C86,C91";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";16;"10uF";;;
5;"R72,R50,R4,R3,R2,R39,R59,R73,R1";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";9;"4.7k";;;
6;"M2,M7,M3,M11,M6,M10,M9,M4,M8,M5,M12,M1";"FanPinHeader_1x04_P2.54mm_Vertical";12;"Fan_4pin";;;
7;"J1,J2";"1987724";2;"1987724";;;
8;"C12,C18,C13,C15,C19,C16,C14,C17";"ALH82A750CB600";8;"ALH82A750CB600";;;
9;"R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
10;"Z10,Z11,Z1,Z9";"1SMB2EZ15_R1_00001";4;"1SMB2EZ15_R1_00001";;;
11;"TP25,TP26,TP27,TP23,TP28,TP24";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";6;"TestPoint";;;
12;"C102,C96,C103,C97";"B32652__18_x_9_";4;"B32652A0104K000";;;
13;"C6,C4,C9,C5,C8,C3,C2,C7";"CAPPRD500W60D1025H1750";8;"UVY1E102MPD1TD";;;
14;"C104,C98";"B32774X__31.5_x_12.5_";2;"B32774X0205K000";;;
15;"R53";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"10";;;
16;"C95,C93,C94,C67,C68";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"22pF";;;
17;"R62,R63";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"220";;;
18;"R71";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"60k";;;
19;"Q1";"FZ400R12KE4";1;"FZ400R12KE4";;;
20;"C38";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"1nF";;;
21;"IC6";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
22;"LED1";"LEDC3216X120N";1;"LTST-C230CKT";;;
23;"LED2";"LEDC3216X120N";1;"LTST-C230GKT";;;
24;"J15,J9,J14,J5,J12,J25,J7,J24,J6,J8,J10,J11";"5442251";12;"5442251";;;
25;"C76";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"470pF";;;
26;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
27;"Z2,Z4,Z5";"DIOM5436X247N";3;"1SMB5956BT3G";;;
28;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
29;"Z3";"SOD3716X135N";1;"MMSZ5231B-TP";;;
30;"IC5,IC8";"SOIC127P600X175-8N";2;"LM358DR";;;
31;"R52";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"1";;;
32;"A1";"Arduino_UNO_R3_ModifiedCourtyard";1;"Arduino_UNO_R3";;;
33;"IC1";"SOIC127P1150X280-8N";1;"ISO1042BDWVR";;;
34;"FL1";"ACT45B1012PTL003";1;"ACT45B-101-2P-TL003";;;
35;"PS1";"RFMM0505S";1;"RFMM-0505S";;;
36;"C87";"C4AQNBW5200M3LJ";1;"C4AQNBW5200M3LJ";;;
37;"R51";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"1k";;;
38;"IC3";"SOIC127P600X175-8N";1;"UCC27424QDRQ1";;;
39;"FB1";"BEADC1608X100N";1;"FBMJ1608HS220NTR";;;
40;"U6";"Allegro_CB_PFF";1;"ACS758ECB-200U-PFF";;;
