"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C66,C67,C68,C65,C69,C70";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";6;"10pF";;;
2;"Q1";"CM600HA-24H-Gate";1;"~";;;
3;"C29,C35,C44,C53,C20,C32,C80,C59,C50,C26,C63";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";11;"1uF";;;
4;"C31,C34,C28,C43,C49,C54,C62";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";7;"10uF";;;
5;"J1,J3";"1548129";2;"1548129";;;
6;"J5,J6,J7";"1987724";3;"1987724";;;
7;"R45,R30,R28,R27,R25,R29,R26,R31";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"100";;;
8;"C45,C52,C83,C36,C51,C64,C30,C33,C79,C60,C88,C87,C27,C61";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";14;"100nF";;;
9;"R44,R46";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"1k";;;
10;"D13";"DIOM5226X220N";1;"MBRA340T3G";;;
11;"C85";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"2.2nF";;;
12;"D1,D2";"DIOM8059X265N";2;"S3N";;;
13;"R47,R48";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"1.5";;;
14;"C76,C71,C75,C73,C72,C81,C74,C77";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"100pF";;;
15;"TP5,TP7,TP8,TP6,TP3";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";5;"TestPoint";;;
16;"U1";"DWJ0036A";1;"UCC5870QDWJRQ1";;;
17;"D9";"SOD2513X120N";1;"BAT54WS-7-F";;;
18;"R24,R43,R36";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"0";;;
19;"C39,C56,C42,C38,C41,C55,C37,C47,C48,C46,C57,C40";"CAPPRD500W60D1025H1750";12;"UVY1E102MPD1TD";;;
20;"PS4";"RFMM0505S";1;"RFMM-0505S";;;
21;"J4";"5-106505-2_3";1;"5-106505-2";;;
22;"R23,R32,R37,R38";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";4;"10k";;;
23;"PS2";"REC10K-AW";1;"REC10K-2415SAW_H2";;;
24;"C23,C22";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"4.7uF";;;
25;"PS1";"RKE1205SH";1;"RKE-1205S_H";;;
26;"C84,C82";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"10nF";;;
27;"PS3";"REC10K-AW";1;"REC10K-2409SAW_H2";;;
