"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R23,R30,R25,R29,R27,R5,R22,R36,R34,R35,R15,R37,R3,R2,R7,R28,R4,R33,R8,R1,R19,R17,R6,R14,R13,R16,R32,R24,R31,R18,R12,R59,R20,R11,R26,R21,R10,R38,R9";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";39;"4.7k";;;
2;"J33,J55,J10,J51,J45,J41,J32,J34,J8,J13,J31,J57,J47,J18,J35,J12,J5,J44,J36,J27,J28,J43,J7,J11,J16,J15,J29,J50,J19,J40,J42,J52,J4,J56,J38,J20,J17,J6,J30,J46,J14,J24,J49,J9,J53,J23,J37,J3,J21,J54,J58,J26,J25,J39,J48,J22";"5442251";56;"5442251";;;
3;"Q8,Q13,Q10,Q3,Q2,Q15,Q18,Q19,Q7,Q11,Q12,Q1,Q4,Q9,Q17,Q6,Q16,Q22,Q5,Q21,Q24,Q20,Q14,Q23";"SOT95P240X88-3N";24;"SSM3K361R,LF";;;
4;"C92,C13,C85,C12,C2,C65,C3,C4,C8,C14,C89,C15,C9,C16,C6,C11,C5,C10,C7";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";19;"100nF";;;
5;"C90,C86,C91,C66,C1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"1uF";;;
6;"FL1";"ACT45B1012PTL003";1;"ACT45B-101-2P-TL003";;;
7;"R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
8;"J2,J1";"1987724";2;"1987724";;;
9;"Y1";"Crystal_SMD_7050-2Pin_7.0x5.0mm_HandSoldering";1;"8MHz";;;
10;"C68,C67,C95,C93,C94";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"22pF";;;
11;"PS1";"RFMM0505S";1;"RFMM-0505S";;;
12;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
13;"IC6";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
14;"IC1";"SOIC127P1150X280-8N";1;"ISO1042BDWVR";;;
15;"A2";"Arduino_Mega2560_R3_Shield";1;"Arduino_Mega2560_R3_Shield";;;
