"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R49,R38,R43,R37,R44,R55,R50,R56";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"0";;;
2;"C76,C83,C62,C42,C74,C47,C50,C58,C67,C59,C79,C52,C70,C71,C36,C82,C38,C64,C44,C55";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";20;"100nF";;;
3;"PS1";"R78K3310";1;"R-78K3.3-1.0";;;
4;"R51,R46,R58,R57,R39,R40,R52,R45";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"10k";;;
5;"Z2,Z3,Z4,Z1";"SOD3716X135N";4;"SZMMSZ4678T1G";;;
6;"C35,C66,C54,C77,C81,C53,C57,C39,C78,C45,C65,C69";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";12;"1uF";;;
7;"IC11,IC1,IC2,IC12";"SOT65P210X110-5N";4;"TLV6001QDCKRQ1";;;
8;"FB3,FB1,FB2,FB4";"BEADC1608X100N";4;"FBMJ1608HS220NTR";;;
9;"TP18,TP22,TP11,TP10,TP8,TP5,TP3,TP2,TP14,TP1,TP16,TP17,TP15,TP6,TP23,TP24,TP20,TP21,TP4,TP7,TP12,TP13,TP9,TP19";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";24;"TestPoint";;;
10;"R47,R48,R59,R53,R41,R42,R54,R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"16.5k";;;
11;"C80,C46,C41,C75,C43,C56,C68,C48,C40,C60,C51,C63,C49,C61,C72,C73";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";16;"10nF";;;
12;"C1,C4";"CAPPRD500W60D1025H1750";2;"UVY1E102MPD1TD";;;
13;"AT1,AT4,AT2,AT3";"SOIC127P1030X265-16N";4;"AMC3330QDWERQ1";;;
14;"J1,J2";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10_Pin";;;
