"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C24,C75,C57,C76,C63,C59,C62,C33,C72,C19,C80,C66";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";12;"10uF";;;
2;"Z1";"1SMB2EZ15_R1_00001";1;"1SMB2EZ15_R1_00001";;;
3;"J4,J3";"SMA_Wurth_60312002114503_Vertical";2;"Conn_Coaxial";;;
4;"IC5,IC4,IC9,IC2,IC8";"SOIC127P600X175-8N";5;"LM358DR";;;
5;"R19";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"12.79k";;;
6;"C56,C54,C45,C51,C50,C44,C53,C52,C55,C46";"CAPPRD1000W190D2250H2700";10;"330uF";;;
7;"R14,R74,R15,R5,R68,R65,R1,R66,R75,R16,R6,R13,R12,R9,R72,R8,R67,R10,R11,R3,R4,R18,R76,R69,R17,R2,R7,R73";"RESC6431X65N";28;"RC2512JK-071ML";;;
8;"LED1";"LEDC3216X120N";1;"LTST-C230CKT";;;
9;"C20,C22";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"1uF";;;
10;"R45,R52,R53,R56";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";4;"1";;;
11;"C39,C37,C17,C14,C38,C15";"ALH82A750CB600";6;"75uF";;;
12;"FB1,FB4,FB2,FB3";"BEADC1608X100N";4;"FBMJ1608HS220NTR";;;
13;"R55,R51,R40,R46,R28,R47,R59";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";7;"10k";;;
14;"L6,L3,L10,L1,L4,L7,L8,L12,L11,L2,L5,L9";"IHDM1008BCEV2R2M20";12;"IHDM1008BCEV2R2M20";;;
15;"SW1";"SMA_Wurth_60312002114503_Vertical";1;"SW_Push";;;
16;"C3,C2,C1";"CAPPRD500W60D1025H1750";3;"1000uF";;;
17;"C68,C67";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"22pF";;;
18;"J2,J1";"1987724";2;"1987724";;;
19;"C28";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"4.7uF";;;
20;"M1";"FanPinHeader_1x04_P2.54mm_Vertical";1;"Fan_4pin";;;
21;"R32,R71";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"120k";;;
22;"C34,C79,C73,C23,C74,C18,C48,C70,C65,C64,C60,C58,C69,C61";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";14;"100nF";;;
23;"Q3";"SIHFR120GE3";1;"SIHFR120-GE3";;;
24;"LED2,LED3,LED4";"LEDC3216X120N";3;"LTST-C230GKT";;;
25;"R43,R30,R29,R41,R58,R61";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";6;"0";;;
26;"C47,C77,C35,C29,C36,C27,C30";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";7;"1nF";;;
27;"R63,R62,R79,R64";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";4;"220";;;
28;",,,,,,,,,,";"";11;"";;;
29;"R34,R35,R57";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"1k";;;
30;"IC6";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
31;"R80,R49,R50,R22,R37,R26";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";6;"100k";;;
32;"C32,C71,C31,C78";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";4;"470pF";;;
33;"J9,J8,J7,J10";"WireSolderJoint";4;"~";;;
34;"IC1";"UCC28220D";1;"UCC28220D";;;
35;"R20";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"101.85k";;;
36;"R48";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"300k";;;
37;"C21";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"180pF";;;
38;"R33";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"28k";;;
39;"A1";"Arduino_UNO_R3_ModifiedCourtyard";1;"Arduino_UNO_R3";;;
40;"Z5,Z3,Z4,Z2";"SOD3716X135N";4;"MMSZ5231B-TP";;;
41;"R38,R42,R44";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"~";;;
42;"R78";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"40k";;;
43;"R31";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"45.00k";;;
44;"R23";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"40.8k";;;
45;"IC3";"SOIC127P600X175-8N";1;"UCC27424QDRQ1";;;
46;"R70,R77";"RESC6431X65N";2;"1M";;;
47;"R21";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"149.21k";;;
48;"IC7";"SOIC127P600X175-8N";1;"TJA1050T_CM,118";;;
49;"C25";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10nF";;;
50;"U2";"SOT95P237X112-3N";1;"TL431AIDBZR";;;
51;"U6,U1";"Allegro_CB_PFF";2;"ACS758xCB-200U-PFF";;;
52;"R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
