"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"PS1";"RFMM0505S";1;"RFMM-0505S";;;
2;"IC1";"SOIC127P1150X280-8N";1;"ISO1042BDWVR";;;
3;"FL1";"ACT45B1012PTL003";1;"ACT45B-101-2P-TL003";;;
4;"C95,C94,C93,C67,C68";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"22pF";;;
5;"C92,C89,C85,C79,C65,C34,C32,C77,C82,C84,C69,C74,C70,C64,C81,C61,C83,C37,C72,C80,C60";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";21;"100nF";;;
6;"C91,C90,C86,C26,C59,C62,C63,C36,C28,C75,C73,C71,C29,C66,C27,C78";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";16;"10uF";;;
7;"R68,R67,R65,R69,R66,R70";"RESC6431X65N";6;"RC2512JK-071ML";;;
8;"R72,R50,R4,R3,R2,R39,R59,R73,R1";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";9;"4.7k";;;
9;"M2,M3,M8,M1";"FanPinHeader_1x04_P2.54mm_Vertical";4;"Fan_4pin";;;
10;"J13";"389690002";1;"38969-0002";;;
11;"J1,J4,J2,J3";"1987724";4;"1987724";;;
12;"C12,C13,C15,C14";"ALH82A750CB600";4;"ALH82A750CB600";;;
13;"H5,H6";"67715ABPE";2;"677-15ABPE";;;
14;"R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
15;"C6,C4,C9,C5,C8,C3,C2,C7";"CAPPRD500W60D1025H1750";8;"1000uF";;;
16;"R58";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"0";;;
17;"R62,R63";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"220";;;
18;"R71";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120k";;;
19;"C38,C47";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";2;"1nF";;;
20;"IC6";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
21;"Q1,Q2";"TO544P510X1580X2540-3P";2;"STWA75N60M6";;;
22;"LED1";"LEDC3216X120N";1;"LTST-C230CKT";;;
23;"LED2";"LEDC3216X120N";1;"LTST-C230GKT";;;
24;"J9,J5,J12,J25,J7,J24,J6,J8,J10,J11";"5442251";10;"5442251";;;
25;"Z1";"1SMB2EZ15_R1_00001";1;"1SMB2EZ15_R1_00001";;;
26;"C76";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"470pF";;;
27;"Y1";"Crystal_SMD_7050-2Pin_7.0x5.0mm_HandSoldering";1;"8MHz";;;
28;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
29;"Z3";"SOD3716X135N";1;"MMSZ5231B-TP";;;
30;"FB3,FB1";"BEADC1608X100N";2;"FBMJ1608HS220NTR";;;
31;"IC5,IC8";"SOIC127P600X175-8N";2;"LM358DR";;;
32;"R52,R56";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"1";;;
33;"A1";"Arduino_UNO_R3_ModifiedCourtyard";1;"Arduino_UNO_R3";;;
34;"R55,R51";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";2;"10k";;;
35;"J22,J23,J17,J16";"1548129";4;"1548129";;;
36;"IC3";"SOIC127P600X175-8N";1;"UCC27424QDRQ1";;;
37;"U6";"Allegro_CB_PFF";1;"ACS758xCB-200U-PFF";;;
